id,name,x,y,z,p,r,h
1,前向毫米波雷达,3445,0,320,0,0,0
2,右前毫米波雷达,3445,832,320,0,0,315
3,左前毫米波雷达,3445,-832,320,0,0,45
4,后右毫米波雷达,-468,868,318,0,0,225
5,后左毫米波雷达,-468,-868,318,0,0,135
6,前视摄像头,3035,0,798,0,0,0
7,前环视摄像头,1692,0,1377,0,0,0
8,后环视摄像头,-461,0,789,0,0,180
9,右环视摄像头,949,800,1376,-30,0,270
10,左环视摄像头,949,-800,1376,-30,0,90
11,激光雷达,990,0,1573,0,0,0
12,组合导航,17,0,728,0,0,0
13,前超声波雷达,3383,0,85,0,0,0
14,前左1超声波雷达,3383,-610,85,0,0,0
15,前右1超声波雷达,3383,610,85,0,0,0
16,前左2超声波雷达,2047,-842,318,0,0,90
17,前左3超声波雷达,1043,-842,318,0,0,90
18,前左4超声波雷达,517,-842,318,0,0,90
19,前右2超声波雷达,2047,842,318,0,0,270
20,前右3超声波雷达,1043,842,318,0,0,270
21,前右4超声波雷达,517,842,318,0,0,270
22,后超声波雷达,-427,0,85,0,0,180
23,后左超声波雷达,-427,-610,85,0,0,180
24,后右超声波雷达,-427,610,85,0,0,180
